route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
S1,WKD,S1_WKD_0_001,World Trade Center,S1 001,0,,S1_0,1,0
S1,WKD,S1_WKD_0_002,World Trade Center,S1 002,0,,S1_0,1,0
S1,WKD,S1_WKD_0_003,World Trade Center,S1 003,0,,S1_0,1,0
S1,WKD,S1_WKD_0_004,World Trade Center,S1 004,0,,S1_0,1,0
S1,WKD,S1_WKD_0_005,World Trade Center,S1 005,0,,S1_0,1,0
S1,WKD,S1_WKD_0_006,World Trade Center,S1 006,0,,S1_0,1,0
S1,WKD,S1_WKD_0_007,World Trade Center,S1 007,0,,S1_0,1,0
S1,WKD,S1_WKD_0_008,World Trade Center,S1 008,0,,S1_0,1,0
S1,WKD,S1_WKD_0_009,World Trade Center,S1 009,0,,S1_0,1,0
S1,WKD,S1_WKD_0_010,World Trade Center,S1 010,0,,S1_0,1,0
S1,WKD,S1_WKD_0_011,World Trade Center,S1 011,0,,S1_0,1,0
S1,WKD,S1_WKD_0_012,World Trade Center,S1 012,0,,S1_0,1,0
S1,WKD,S1_WKD_0_013,World Trade Center,S1 013,0,,S1_0,1,0
S1,WKD,S1_WKD_0_014,World Trade Center,S1 014,0,,S1_0,1,0
S1,WKD,S1_WKD_0_015,World Trade Center,S1 015,0,,S1_0,1,0
S1,WKD,S1_WKD_0_016,World Trade Center,S1 016,0,,S1_0,1,0
S1,WKD,S1_WKD_0_017,World Trade Center,S1 017,0,,S1_0,1,0
S1,WKD,S1_WKD_0_018,World Trade Center,S1 018,0,,S1_0,1,0
S1,WKD,S1_WKD_0_019,World Trade Center,S1 019,0,,S1_0,1,0
S1,WKD,S1_WKD_0_020,World Trade Center,S1 020,0,,S1_0,1,0
S1,WKD,S1_WKD_0_021,World Trade Center,S1 021,0,,S1_0,1,0
S1,WKD,S1_WKD_0_022,World Trade Center,S1 022,0,,S1_0,1,0
S1,WKD,S1_WKD_0_023,World Trade Center,S1 023,0,,S1_0,1,0
S1,WKD,S1_WKD_0_024,World Trade Center,S1 024,0,,S1_0,1,0
S1,WKD,S1_WKD_0_025,World Trade Center,S1 025,0,,S1_0,1,0
S1,WKD,S1_WKD_0_026,World Trade Center,S1 026,0,,S1_0,1,0
S1,WKD,S1_WKD_0_027,World Trade Center,S1 027,0,,S1_0,1,0
S1,WKD,S1_WKD_0_028,World Trade Center,S1 028,0,,S1_0,1,0
S1,WKD,S1_WKD_0_029,World Trade Center,S1 029,0,,S1_0,1,0
S1,WKD,S1_WKD_0_030,World Trade Center,S1 030,0,,S1_0,1,0
S1,WKD,S1_WKD_0_031,World Trade Center,S1 031,0,,S1_0,1,0
S1,WKD,S1_WKD_0_032,World Trade Center,S1 032,0,,S1_0,1,0
S1,WKD,S1_WKD_0_033,World Trade Center,S1 033,0,,S1_0,1,0
S1,WKD,S1_WKD_0_034,World Trade Center,S1 034,0,,S1_0,1,0
S1,WKD,S1_WKD_0_035,World Trade Center,S1 035,0,,S1_0,1,0
S1,WKD,S1_WKD_0_036,World Trade Center,S1 036,0,,S1_0,1,0
S1,WKD,S1_WKD_0_037,World Trade Center,S1 037,0,,S1_0,1,0
S1,WKD,S1_WKD_0_038,World Trade Center,S1 038,0,,S1_0,1,0
S1,WKD,S1_WKD_0_039,World Trade Center,S1 039,0,,S1_0,1,0
S1,WKD,S1_WKD_0_040,World Trade Center,S1 040,0,,S1_0,1,0
S1,WKD,S1_WKD_0_041,World Trade Center,S1 041,0,,S1_0,1,0
S1,WKD,S1_WKD_0_042,World Trade Center,S1 042,0,,S1_0,1,0
S1,WKD,S1_WKD_0_043,World Trade Center,S1 043,0,,S1_0,1,0
S1,WKD,S1_WKD_0_044,World Trade Center,S1 044,0,,S1_0,1,0
S1,WKD,S1_WKD_0_045,World Trade Center,S1 045,0,,S1_0,1,0
S1,WKD,S1_WKD_0_046,World Trade Center,S1 046,0,,S1_0,1,0
S1,WKD,S1_WKD_0_047,World Trade Center,S1 047,0,,S1_0,1,0
S1,WKD,S1_WKD_0_048,World Trade Center,S1 048,0,,S1_0,1,0
S1,WKD,S1_WKD_0_049,World Trade Center,S1 049,0,,S1_0,1,0
S1,WKD,S1_WKD_0_050,World Trade Center,S1 050,0,,S1_0,1,0
S1,WKD,S1_WKD_0_051,World Trade Center,S1 051,0,,S1_0,1,0
S1,WKD,S1_WKD_0_052,World Trade Center,S1 052,0,,S1_0,1,0
S1,WKD,S1_WKD_0_053,World Trade Center,S1 053,0,,S1_0,1,0
S1,WKD,S1_WKD_0_054,World Trade Center,S1 054,0,,S1_0,1,0
S1,WKD,S1_WKD_0_055,World Trade Center,S1 055,0,,S1_0,1,0
S1,WKD,S1_WKD_0_056,World Trade Center,S1 056,0,,S1_0,1,0
S1,WKD,S1_WKD_0_057,World Trade Center,S1 057,0,,S1_0,1,0
S1,WKD,S1_WKD_0_058,World Trade Center,S1 058,0,,S1_0,1,0
S1,WKD,S1_WKD_0_059,World Trade Center,S1 059,0,,S1_0,1,0
S1,WKD,S1_WKD_0_060,World Trade Center,S1 060,0,,S1_0,1,0
S1,WKD,S1_WKD_0_061,World Trade Center,S1 061,0,,S1_0,1,0
S1,WKD,S1_WKD_0_062,World Trade Center,S1 062,0,,S1_0,1,0
S1,WKD,S1_WKD_0_063,World Trade Center,S1 063,0,,S1_0,1,0
S1,WKD,S1_WKD_0_064,World Trade Center,S1 064,0,,S1_0,1,0
S1,WKD,S1_WKD_0_065,World Trade Center,S1 065,0,,S1_0,1,0
S1,WKD,S1_WKD_0_066,World Trade Center,S1 066,0,,S1_0,1,0
S1,WKD,S1_WKD_0_067,World Trade Center,S1 067,0,,S1_0,1,0
S1,WKD,S1_WKD_0_068,World Trade Center,S1 068,0,,S1_0,1,0
S1,WKD,S1_WKD_0_069,World Trade Center,S1 069,0,,S1_0,1,0
S1,WKD,S1_WKD_0_070,World Trade Center,S1 070,0,,S1_0,1,0
S1,WKD,S1_WKD_0_071,World Trade Center,S1 071,0,,S1_0,1,0
S1,WKD,S1_WKD_0_072,World Trade Center,S1 072,0,,S1_0,1,0
S1,WKD,S1_WKD_0_073,World Trade Center,S1 073,0,,S1_0,1,0
S1,WKD,S1_WKD_0_074,World Trade Center,S1 074,0,,S1_0,1,0
S1,WKD,S1_WKD_0_075,World Trade Center,S1 075,0,,S1_0,1,0
S1,WKD,S1_WKD_0_076,World Trade Center,S1 076,0,,S1_0,1,0
S1,WKD,S1_WKD_0_077,World Trade Center,S1 077,0,,S1_0,1,0
S1,WKD,S1_WKD_0_078,World Trade Center,S1 078,0,,S1_0,1,0
S1,WKD,S1_WKD_0_079,World Trade Center,S1 079,0,,S1_0,1,0
S1,WKD,S1_WKD_0_080,World Trade Center,S1 080,0,,S1_0,1,0
S1,WKD,S1_WKD_0_081,World Trade Center,S1 081,0,,S1_0,1,0
S1,WKD,S1_WKD_0_082,World Trade Center,S1 082,0,,S1_0,1,0
S1,WKD,S1_WKD_0_083,World Trade Center,S1 083,0,,S1_0,1,0
S1,WKD,S1_WKD_0_084,World Trade Center,S1 084,0,,S1_0,1,0
S1,WKD,S1_WKD_0_085,World Trade Center,S1 085,0,,S1_0,1,0
S1,WKD,S1_WKD_0_086,World Trade Center,S1 086,0,,S1_0,1,0
S1,WKD,S1_WKD_0_087,World Trade Center,S1 087,0,,S1_0,1,0
S1,WKD,S1_WKD_0_088,World Trade Center,S1 088,0,,S1_0,1,0
S1,WKD,S1_WKD_0_089,World Trade Center,S1 089,0,,S1_0,1,0
S1,WKD,S1_WKD_0_090,World Trade Center,S1 090,0,,S1_0,1,0
S1,WKD,S1_WKD_0_091,World Trade Center,S1 091,0,,S1_0,1,0
S1,WKD,S1_WKD_0_092,World Trade Center,S1 092,0,,S1_0,1,0
S1,WKD,S1_WKD_0_093,World Trade Center,S1 093,0,,S1_0,1,0
S1,WKD,S1_WKD_0_094,World Trade Center,S1 094,0,,S1_0,1,0
S1,WKD,S1_WKD_0_095,World Trade Center,S1 095,0,,S1_0,1,0
S1,WKD,S1_WKD_0_096,World Trade Center,S1 096,0,,S1_0,1,0
S1,WKD,S1_WKD_0_097,World Trade Center,S1 097,0,,S1_0,1,0
S1,WKD,S1_WKD_0_098,World Trade Center,S1 098,0,,S1_0,1,0
S1,WKD,S1_WKD_0_099,World Trade Center,S1 099,0,,S1_0,1,0
S1,WKD,S1_WKD_0_100,World Trade Center,S1 100,0,,S1_0,1,0
S1,WKD,S1_WKD_0_101,World Trade Center,S1 101,0,,S1_0,1,0
S1,WKD,S1_WKD_0_102,World Trade Center,S1 102,0,,S1_0,1,0
S1,WKD,S1_WKD_0_103,World Trade Center,S1 103,0,,S1_0,1,0
S1,WKD,S1_WKD_0_104,World Trade Center,S1 104,0,,S1_0,1,0
S1,WKD,S1_WKD_0_105,World Trade Center,S1 105,0,,S1_0,1,0
S1,WKD,S1_WKD_0_106,World Trade Center,S1 106,0,,S1_0,1,0
S1,WKD,S1_WKD_0_107,World Trade Center,S1 107,0,,S1_0,1,0
S1,WKD,S1_WKD_0_108,World Trade Center,S1 108,0,,S1_0,1,0
S1,WKD,S1_WKD_0_109,World Trade Center,S1 109,0,,S1_0,1,0
S1,WKD,S1_WKD_0_110,World Trade Center,S1 110,0,,S1_0,1,0
S1,WKD,S1_WKD_0_111,World Trade Center,S1 111,0,,S1_0,1,0
S1,WKD,S1_WKD_0_112,World Trade Center,S1 112,0,,S1_0,1,0
S1,WKD,S1_WKD_1_001,Inwood-207 St,S1 001,1,,S1_1,1,0
S1,WKD,S1_WKD_1_002,Inwood-207 St,S1 002,1,,S1_1,1,0
S1,WKD,S1_WKD_1_003,Inwood-207 St,S1 003,1,,S1_1,1,0
S1,WKD,S1_WKD_1_004,Inwood-207 St,S1 004,1,,S1_1,1,0
S1,WKD,S1_WKD_1_005,Inwood-207 St,S1 005,1,,S1_1,1,0
S1,WKD,S1_WKD_1_006,Inwood-207 St,S1 006,1,,S1_1,1,0
S1,WKD,S1_WKD_1_007,Inwood-207 St,S1 007,1,,S1_1,1,0
S1,WKD,S1_WKD_1_008,Inwood-207 St,S1 008,1,,S1_1,1,0
S1,WKD,S1_WKD_1_009,Inwood-207 St,S1 009,1,,S1_1,1,0
